Split,Random_Seed,Output,Model,MSE,RMSE,MAE,R2
16,912757,tmp,KNN,0.0001514851206229375,0.012307929176873643,0.005614304544136858,0.9810943870887647
16,912757,tmp,SVR,0.0009038351250855696,0.03006385080267612,0.015416070682936258,0.8871997662861
16,912757,tmp,Bagging,2.726500983411863e-05,0.0052215907378995756,0.0023292921251695147,0.9965972782024717
16,912757,tmp,MLP Neural Network,0.0003524318929464328,0.018773169496556323,0.010303843025470171,0.9560158719336935
16,912757,tmp,XGBoost,7.4055214592403216e-06,0.00272130877690135,0.0018950388736243954,0.9990757777295981
16,912757,tmp,LightGBM,6.972293264791786e-05,0.00835002590702076,0.005038887108981005,0.9912984538002337
16,912757,flow,Linear Regression,0.034390308897933285,0.1854462426093699,0.14562154085155957,0.47765823681930375
16,912757,flow,Ridge Regression,0.03439032000019822,0.18544627254328466,0.1456151935543805,0.4776580681910818
16,912757,flow,Lasso Regression,0.03979193732911644,0.1994791651504398,0.15646654889657874,0.39561488771287145
16,912757,flow,ElasticNet,0.03681485273582637,0.19187196964597608,0.14912492476146927,0.4408327315017265
16,912757,flow,Decision Tree,0.007543769098978793,0.08685487377792217,0.05715910052930537,0.8854204635415346
16,912757,flow,Random Forest,0.000977983626950542,0.03127272976493325,0.023439914127181962,0.9851457661058143
16,912757,flow,Extra Trees,1.324110083768375e-31,3.6388323453662647e-16,2.3982889287781373e-16,1.0
16,912757,flow,Gradient Boosting,0.010199270832894507,0.10099143940401338,0.07930991199480729,0.8450870236198511
16,912757,flow,AdaBoost,0.01914669455150428,0.13837158144468928,0.11202024487612573,0.7091878929963319
16,912757,flow,Hist Gradient Boosting,0.0035480898574247696,0.059565844721826695,0.04603083520919506,0.9461093671024812
16,912757,flow,KNN,0.004671838972543106,0.06835085202499751,0.05101308938015552,0.9290411547783128
16,912757,flow,SVR,0.014789427345848363,0.12161178950187504,0.08905229486660632,0.7753688232580113
16,912757,flow,Bagging,0.0009852546270480611,0.03138876593700461,0.02354865996236082,0.9850353295574745
16,912757,flow,MLP Neural Network,0.008872332869087469,0.09419306168231006,0.07267252886773624,0.8652413966934824
16,912757,flow,XGBoost,0.0008347008737487196,0.02889119024458355,0.021610181521577006,0.9873220351868205
16,912757,flow,LightGBM,0.003504242303483996,0.05919664098142728,0.04607317679211202,0.9467753514850163
16,912757,lv,Linear Regression,0.9870007439742919,0.9934791109904083,0.6923327185199496,0.21010404232892577
16,912757,lv,Ridge Regression,0.9870010671935845,0.9934792736607968,0.6923521838698,0.21010378365676763
16,912757,lv,Lasso Regression,1.0877162319308804,1.042936350853148,0.7675656744841919,0.12950151259683962
16,912757,lv,ElasticNet,1.0350312624365319,1.01736486200209,0.732068682610447,0.17166525430390123
16,912757,lv,Decision Tree,0.11414307694276876,0.3378506725504165,0.2074527892683244,0.9086513808386959
16,912757,lv,Random Forest,0.028287483953355855,0.1681888342112991,0.10404610712606514,0.9773615477355474
16,912757,lv,Extra Trees,9.422164466714419e-31,9.706783435677557e-16,6.630258809581029e-17,1.0
16,912757,lv,Gradient Boosting,0.2965491407059414,0.5445632568452827,0.3879593671571766,0.762671944348043
16,912757,lv,AdaBoost,0.7763613707523697,0.881113710455336,0.7663435401587317,0.3786785752764904
16,912757,lv,Hist Gradient Boosting,0.08132166870509665,0.28516954378947384,0.20284020993904736,0.9349183293190149
16,912757,lv,KNN,0.14984402108665637,0.38709691433368,0.23505220292877146,0.8800799419249354
16,912757,lv,SVR,0.56982790789343,0.7548694641416024,0.432183580922662,0.5439671512295139
